timestamp_ms,q_cmd_rad,q_actual_rad,q_error_rad,vel_rad_s,tau_feedback_Nm,contact_tau,contact_pos,label
7261,4.36366,3.56393,0.79973,3.83150,0.08547,0,1,hard
7266,4.36366,3.58301,0.78065,3.72894,0.09524,0,1,hard
7271,4.36366,3.60132,0.76234,3.61172,0.09524,0,1,hard
7276,4.36366,3.61963,0.74403,3.56777,0.09524,0,1,hard
7281,4.36366,3.63718,0.72648,3.43590,0.10012,0,1,hard
7286,4.36366,3.65434,0.70932,3.36264,0.10501,0,1,hard
7291,4.36366,3.67113,0.69253,3.30403,0.11477,0,1,hard
7296,4.36366,3.68753,0.67613,3.18681,0.10501,0,1,hard
7301,4.36366,3.70356,0.66010,3.12821,0.10989,0,1,hard
7306,4.36366,3.71958,0.64408,3.05495,0.11966,0,1,hard
7311,4.36366,3.73446,0.62920,2.93773,0.10989,0,1,hard
7316,4.36366,3.74933,0.61433,2.92308,0.11477,0,1,hard
7321,4.36366,3.76383,0.59983,2.82051,0.11966,0,1,hard
7326,4.36366,3.77794,0.58572,2.74725,0.11477,0,1,hard
7331,4.36366,3.79168,0.57198,2.70330,0.11966,0,1,hard
7337,4.36366,3.80503,0.55863,2.64469,0.13431,0,1,hard
7342,4.36366,3.81838,0.54528,2.52747,0.11966,0,1,hard
7347,4.36366,3.83097,0.53269,2.49817,0.11477,0,1,hard
7352,4.36366,3.84356,0.52010,2.46886,0.12454,0,1,hard
7357,4.36366,3.85576,0.50790,2.33700,0.12943,0,1,hard
7362,4.36366,3.86721,0.49645,2.27839,0.11477,0,1,hard
7367,4.36366,3.87903,0.48463,2.27839,0.12454,0,1,hard
7372,4.36366,3.89010,0.47356,2.20513,0.11966,0,1,hard
7377,4.36366,3.90116,0.46250,2.13187,0.12454,0,1,hard
7382,4.36366,3.91184,0.45182,2.04396,0.12454,0,1,hard
7387,4.36366,3.92252,0.44114,2.10257,0.11966,0,1,hard
7392,4.36366,3.93282,0.43084,2.00000,0.11966,0,1,hard
7397,4.36366,3.94274,0.42092,1.89744,0.12454,0,1,hard
7402,4.36366,3.95228,0.41138,1.86813,0.12454,0,1,hard
7407,4.36366,3.96143,0.40223,1.83883,0.12943,0,1,hard
7412,4.36366,3.97097,0.39269,1.82418,0.12454,0,1,hard
7417,4.36366,3.98013,0.38353,1.80952,0.11477,0,1,hard
7422,4.36366,3.98814,0.37552,1.60440,0.13431,0,1,hard
7428,4.36366,3.99653,0.36713,1.61905,0.14408,0,1,hard
7433,4.36366,4.00530,0.35836,1.70696,0.12454,0,1,hard
7438,4.36366,4.01331,0.35035,1.54579,0.12454,0,1,hard
7443,4.36366,4.02132,0.34234,1.57509,0.13431,0,1,hard
7448,4.36366,4.02895,0.33471,1.50183,0.12943,0,1,hard
7453,4.36366,4.03620,0.32746,1.34066,0.14896,0,1,hard
7458,4.36366,4.04307,0.32059,1.38462,0.16361,0,1,hard
7463,4.36366,4.05070,0.31296,1.50183,0.12943,0,1,hard
7468,4.36366,4.05795,0.30571,1.36996,0.11477,0,1,hard
7473,4.36366,4.06443,0.29923,1.26740,0.13919,0,1,hard
7478,4.36366,4.07092,0.29274,1.29671,0.14408,0,1,hard
7483,4.36366,4.07740,0.28626,1.26740,0.14408,0,1,hard
7488,4.36366,4.08351,0.28015,1.17949,0.13919,0,1,hard
